City,HurricaneName,SizeRank,before,after,percent,increase
Saint Pete Beach,charley,5956,306706.4264,367981.3685,19.978369158814598,0
Lake Park,charley,5968,138639.5216,175067.5563,26.275360935752097,1
Melbourne Beach,charley,5982,266588.2339,337982.2289,26.780624919395592,1
Hilliard,charley,6022,105415.7707,124971.5016,18.551048643047118,0
Indian Harbour Beach,charley,6133,196022.0343,266988.8545,36.20349133372912,1
Bithlo,charley,6151,240191.9067,278752.6204,16.05412698112364,0
Cape Canaveral,charley,6245,164685.0099,215255.8273,30.707602003793543,1
Belle Isle,charley,6256,238445.1289,276753.2398,16.06579722417637,0
Palm Beach,charley,6349,341656.4988,405803.005,18.775145921503544,0
North Bay Village,charley,6480,186481.4826,226638.1191,21.533846653362048,0
Broadview Park,charley,6563,134512.2773,164449.9391,22.25645301746743,0
Youngstown,charley,6588,123239.9136,137239.2044,11.35938057002986,0
Bell,charley,6600,92137.43636,112243.0922,21.821375365213157,0
Bowling Green,charley,6757,67240.97461,81138.51409,20.668260031336853,0
Myakka City,charley,6769,240911.3464,292250.067,21.31021280947022,0
Springfield,charley,6853,77141.89552,96436.13822,25.011367130585626,1
Sky Lake,charley,6858,100044.5709,115068.4016,15.017137426694676,0
West Miami,charley,6945,287564.7136,358537.7582,24.68072097980799,1
Wedgefield,charley,7096,223301.6993,261655.6181,17.175829346677965,0
Lawtey,charley,7133,86513.38782,102448.408,18.419137871648765,0
Melrose,charley,7155,119863.567,136909.568,14.221169473456438,0
Port Saint Joe,charley,7199,169504.5164,217126.8304,28.095011868368136,1
Pembroke Park,charley,7250,138976.6329,162417.0506,16.86644525117142,0
Flagler Beach,charley,7317,199522.1164,253413.1608,27.01006052479905,1
Treasure Island,charley,7390,250661.9074,309363.5981,23.418672309999348,1
Osprey,charley,7392,334627.8049,405746.7142,21.25313804130925,0
De Leon Springs,charley,7399,125949.8928,146149.7501,16.038010712780856,0
Moore Haven,charley,7404,69962.24532,87213.27927,24.657633372250377,1
Mayo,charley,7407,94891.63431,114713.7856,20.88925060057806,0
Century Village,charley,7413,37142.52923,50461.21636,35.85832038396163,1
Freeport,charley,7417,148902.9306,190203.9045,27.736844220311145,1
Jay,charley,7524,92109.04049,97755.72596,6.1304356662069885,0
Morriston,charley,7619,129917.2615,159498.1713,22.769037353823837,0
Lauderdale-by-the-Sea,charley,7661,278649.6399,342140.9807,22.78536617624389,0
Norland,charley,7843,98857.48587,120227.3355,21.616824909043174,0
Siesta Key,charley,7855,442736.0181,527825.2454,19.21895301519857,0
Miramar Beach,charley,7864,296788.3553,363674.193,22.536543804891,0
Fort Myers Beach,charley,7964,324194.5681,378795.6589,16.84207453567141,0
Micco,charley,8017,91501.00981,121978.7232,33.308608782882665,1
Neptune Beach,charley,8049,260450.7875,312656.3627,20.044314590525087,0
Gotha,charley,8086,231667.571,269715.5357,16.42351777409537,0
Lake Helen,charley,8096,113974.7552,138287.5178,21.33170855014041,0
Surfside,charley,8183,317286.1135,397588.7405,25.309215746689162,1
Geneva,charley,8206,221716.0961,253288.6672,14.240089761349536,0
Century,charley,8211,54499.07504,61282.93761,12.447665515462292,0
Ponce Inlet,charley,8256,294464.7542,352719.3092,19.783201272514127,0
Pahokee,charley,8291,85004.74995,102441.8852,20.513130454776434,0
Palm Springs North,charley,8322,281047.8207,352840.8398,25.544769897587766,1
San Antonio,charley,8388,147606.3719,178264.8124,20.770404492273816,0
Bronson,charley,8388,87896.15424,105932.5005,20.52006304024615,0
Pierson,charley,8443,110906.9182,128391.9644,15.765514436591744,0
South Highpoint,charley,8915,115673.791,136690.2842,18.16875976685159,0
Dundee,charley,8927,83891.62694,96909.7071,15.517734766677775,0
Elkton,charley,8941,161411.5247,187459.5185,16.13762948365235,0
Saint Augustine Beach,charley,9005,239471.1952,279981.5563,16.916590350737938,0
Timber Pines,charley,9008,175957.766,204180.5666,16.039531099752647,0
Eatonville,charley,9012,65136.34378,73870.37455,13.408844069448305,0
South Pasadena,charley,9089,152488.0554,184966.0873,21.298738327277533,0
Grant-Valkaria,charley,9234,243413.4585,342509.7732,40.71110747559588,1
Howey in the Hills,charley,9369,190372.8747,228699.7646,20.13253724323784,0
Sanibel,charley,9469,564457.3718,638662.3704,13.146253784119692,0
Lake Panasoffkee,charley,9483,70785.60936,79475.45843,12.276293371729471,0
Belleair,charley,9493,337304.7082,407264.9524,20.740962844348466,0
Indian River Shores,charley,9497,500709.2178,591511.477,18.134728894939066,0
Micanopy,charley,9686,111688.9563,134817.6851,20.708160919576965,0
Molino,charley,9718,122990.5938,136486.5847,10.973189479795815,0
Grand Island,charley,9764,143493.1489,168932.8152,17.72883687828807,0
Christmas,charley,9790,141683.5138,178272.8316,25.824682645610686,1
Zolfo Springs,charley,9817,109797.1604,132476.6277,20.655786741093188,0
Highland Beach,charley,9845,396466.8041,478751.3828,20.754468684153828,0
Kenneth City,charley,9853,82388.8851,99899.73799,21.25390199023338,0
Madeira Beach,charley,9944,296181.2762,370302.436,25.02560619326549,1
Ponce de Leon,charley,10025,84866.03589,98136.58209,15.637052044236817,0
Enterprise,charley,10232,201297.0767,229950.0773,14.234186144045477,0
Royal Palm Estates,charley,10310,141635.8523,177487.1792,25.312324752396055,1
Parker,charley,10473,101762.8326,123620.5539,21.479081056947706,0
Eagle Lake,charley,10489,94052.47566,107290.2914,14.074925351093098,0
Branford,charley,10592,77495.21237,98654.11072,27.303491019518844,1
Lake Belvedere Estates,charley,10658,206430.0399,245907.7028,19.12399131401805,0
Lake Clarke Shores,charley,10729,232793.8217,291973.5872,25.421536133490957,1
Astatula,charley,10734,121016.4015,144055.2868,19.037820505677484,0
Oakland,charley,10858,229560.2658,267330.5107,16.45330247740112,0
Bay Hill,charley,10871,358273.7443,414943.7009,15.817501980426304,0
Jennings,charley,10880,79105.27315,95502.50856,20.728372151509358,0
Holden Heights,charley,11030,162448.2608,184824.8505,13.774594809327754,0
Montverde,charley,11130,183919.2001,219861.6102,19.542500228609903,0
Oak Hill,charley,11208,121160.0006,144647.6863,19.385676447413292,0
Harbor Bluffs,charley,11659,291959.5194,349393.7704,19.67199121235435,0
Biscayne Park,charley,11737,341735.8893,412404.5349,20.679316341270233,0
Greenville,charley,11912,74638.0316,89433.1787,19.82253119869255,0
Cross City,charley,11954,38971.28538,48205.34273,23.694515743991595,1
Indian Rocks Beach,charley,12088,296298.353,361619.5673,22.0457567983849,0
Astor,charley,12161,143595.7904,168123.6488,17.08118206785538,0
Altoona,charley,12171,87103.52456,100490.2175,15.368715568769852,0
Malabar,charley,12197,227676.8319,317708.9134,39.54380458857748,1
Fellsmere,charley,12220,90899.0505,118785.3639,30.67833299314826,1
Longboat Key,charley,12265,532604.6966,625712.6294,17.481620683102317,0
Edgewood,charley,12298,186425.7955,219124.0249,17.53954130237303,0
White Springs,charley,12387,79520.16457,93298.79566,17.327216517353857,0
Ridge Manor,charley,12782,103517.2454,118390.0064,14.367423459279955,0
Paisley,charley,12800,69971.08449,79402.0877,13.478429380850676,0
Zellwood,charley,12828,102540.3491,111550.2931,8.786730374024042,0
Campbell,charley,12844,111484.7511,134508.1384,20.651602190283764,0
Apalachicola,charley,12877,91915.39335,114408.1491,24.471152143527217,1
Placida,charley,12896,250141.5567,281611.2882,12.580769031409817,0
Roosevelt Gardens,charley,13289,103560.0546,123059.7737,18.829382791769987,0
Highland City,charley,13370,109556.3167,120784.9843,10.249219705649343,0
Hypoluxo,charley,13526,189703.9086,231301.3308,21.927551470597376,0
Virginia Gardens,charley,13546,277897.1297,334592.8519,20.401694058950916,0
Waldo,charley,13720,90811.00422,106096.8223,16.832561440426716,0
Tierra Verde,charley,13838,397396.3039,471127.7331,18.553627317720007,0
Mascotte,charley,13881,105153.3745,120989.4962,15.06002234859328,0
Washington Park,charley,13884,109080.1266,129693.6732,18.89761888120141,0
Hillsboro Beach,charley,14217,343325.1372,423754.3918,23.426555729633883,1
Belleair Bluffs,charley,14619,146498.3282,177192.1641,20.951662914607926,0
Daytona Beach Shores,charley,14765,237592.06,298711.5636,25.72455645192857,1
Asbury Lake,charley,14855,209143.0562,250296.865,19.67734886720088,0
Schall Circle,charley,14924,117941.6034,147759.1085,25.2815836315822,1
Bryceville,charley,14999,114335.4499,131681.1306,15.170868453459416,0
