City,HurricaneName,SizeRank,before,after,percent,increase
San Antonio,charley,8388,78092.11654,91521.74767,17.197166276215768,0
Bronson,charley,8388,44295.51687,47895.02574,8.126124547917478,0
Pierson,charley,8443,37049.78943,44980.88509,21.406587681111166,0
South Highpoint,charley,8915,58436.87967,71086.16196,21.646060435519477,0
Dundee,charley,8927,46523.45168,54288.0129,16.689563950255902,0
Elkton,charley,8941,87174.00187,101914.7137,16.90952751255172,0
Saint Augustine Beach,charley,9005,127623.9851,151232.4288,18.498437955452925,0
Timber Pines,charley,9008,116340.1844,137652.9466,18.319347102564844,0
Eatonville,charley,9012,21204.24682,23759.8369,12.052255860319203,0
Bay Harbor Islands,charley,9020,114552.3748,139841.5506,22.07651813779768,0
South Pasadena,charley,9089,90369.51471,111592.0528,23.48417844015664,0
Weirsdale,charley,9112,49205.37575,60562.95444,23.081987520438766,0
Grant-Valkaria,charley,9234,137353.49,197381.6505,43.70341117651979,1
Howey in the Hills,charley,9369,83477.88566,101183.2578,21.209655707036994,0
Sanibel,charley,9469,309183.1683,352487.4314,14.006022170644785,0
Lake Panasoffkee,charley,9483,18941.77188,21525.77996,13.641849856339835,0
Belleair,charley,9493,135334.7895,163737.1752,20.986758692967104,0
Micanopy,charley,9686,53216.75806,63631.20304,19.569859870565743,0
Molino,charley,9718,55277.39742,63115.30316,14.179223526837312,0
Grand Island,charley,9764,81588.99386,96840.4307,18.693007620819795,0
Christmas,charley,9790,70378.48574,87091.91208,23.747919785805824,1
Highland Beach,charley,9845,236667.9691,285581.6273,20.66762916249659,0
Kenneth City,charley,9853,37085.98335,44252.07992,19.322924519406044,0
Madeira Beach,charley,9944,138257.1494,173489.4805,25.48318929827437,1
Ponce de Leon,charley,10025,25462.52898,29449.72264,15.659063807573133,0
Enterprise,charley,10232,114874.1887,131727.222,14.670861653711084,0
Royal Palm Estates,charley,10310,87681.86313,111346.0507,26.988691532380777,1
Eagle Lake,charley,10489,41571.6061,49264.15939,18.50434469983108,0
Lake Belvedere Estates,charley,10658,123569.581,148836.2527,20.447323277724802,0
Lake Clarke Shores,charley,10729,159486.8301,193725.9309,21.46829351271934,0
Astatula,charley,10734,55114.29959,65181.39413,18.26584863617968,0
Oakland,charley,10858,141228.8301,164583.4535,16.536725103127516,0
Bay Hill,charley,10871,216679.0551,253035.8564,16.779102753249912,0
Jennings,charley,10880,34553.48286,42379.93165,22.65024577033333,0
Holden Heights,charley,11030,92362.0131,106546.6875,15.357692977785478,0
Montverde,charley,11130,111430.418,133802.0611,20.07678289423628,0
Oak Hill,charley,11208,46466.2455,58426.05409,25.738702280131502,1
Harbor Bluffs,charley,11659,176658.0654,216770.3254,22.706158311637445,0
Biscayne Park,charley,11737,211192.638,259215.1613,22.738729794170194,0
Bokeelia,charley,11765,59925.69904,74673.84075,24.610712843175545,1
Greenville,charley,11912,20459.6353,24426.25184,19.38752319793305,0
Indian Rocks Beach,charley,12088,172407.2061,212633.2133,23.331975565260315,0
Astor,charley,12161,58309.44866,66396.30917,13.868868075145322,0
Altoona,charley,12171,23252.26327,27553.57932,18.49848335215414,0
Malabar,charley,12197,118170.2634,178198.5587,50.79813954277773,1
Fellsmere,charley,12220,39999.50258,55187.94973,37.971590070708324,1
Longboat Key,charley,12265,223914.893,264408.3481,18.08430629935812,0
Edgewood,charley,12298,75301.26512,86799.2355,15.269292437088339,0
White Springs,charley,12387,26328.86408,32003.29103,21.552114564298368,0
Ridge Manor,charley,12782,52418.38894,61717.75651,17.740658875732326,0
Paisley,charley,12800,32474.03313,36524.87599,12.474098439770856,0
Zellwood,charley,12828,34093.25816,38977.14431,14.325078955727491,0
Campbell,charley,12844,51712.32589,62215.79553,20.311346394170094,0
Apalachicola,charley,12877,33025.67901,41196.08834,24.73956501401847,1
Placida,charley,12896,100644.9182,117674.8593,16.920815680090637,0
Haverhill,charley,13166,105684.2109,130710.9788,23.68070659455526,1
