City,HurricaneName,SizeRank,before,after,percent,increase
Ellenton,charley,4690,365456.4906,430767.0711,17.870959246824217,0
Newberry,charley,4785,266543.3047,300992.1767,12.924305879216494,0
Frostproof,charley,4797,127736.5115,147700.7438,15.629229313969487,0
Bushnell,charley,4816,209138.6097,236358.1692,13.01508102164648,0
Florida City,charley,4873,204918.4315,270764.5001,32.1328189553315,1
Gulfport,charley,4887,256764.9405,313851.0327,22.232822007878443,1
Marco Island,charley,4962,836900.9391,1065178.065,27.276481030776274,1
South Miami,charley,5035,538834.4041,655952.4042,21.735434710339042,0
Doctor Phillips,charley,5084,454236.4474,526587.3243,15.928021037089499,0
Trenton,charley,5123,196486.6242,238056.7813,21.156736377987002,0
Wilton Manors,charley,5144,399711.1382,486031.6789,21.595730629054565,0
Callaway,charley,5168,178031.4696,213028.9427,19.658026290875487,0
High Springs,charley,5170,224365.3162,257352.2992,14.702353981751484,0
Cocoa Beach,charley,5222,390948.1585,497587.1624,27.277019108915933,1
Pine Castle,charley,5277,219111.7713,253954.8801,15.901979429619088,0
Westwood Lake,charley,5287,382602.0532,463557.0589,21.159062013104737,0
Webster,charley,5294,220802.7586,265893.4791,20.421266829227015,0
Old Town,charley,5310,144599.5111,176468.4233,22.039432884361936,1
Lighthouse Point,charley,5323,836460.9512,1016746.061,21.553320515603282,0
Indiantown,charley,5355,326096.112,392664.4891,20.413729158475824,0
Tequesta,charley,5378,445870.897,536951.2632,20.427519897088068,0
Westgate-Belvedere Homes,charley,5429,170337.4641,206822.3646,21.41918731312144,0
Atlantic Beach,charley,5474,554713.0499,651577.1162,17.46201325486431,0
Lake Alfred,charley,5477,171256.0043,194255.6485,13.429978291277935,0
Madison,charley,5482,166326.2656,198857.9903,19.55898221044409,0
Archer,charley,5490,267562.2679,300692.2398,12.382153941220949,0
Jasper,charley,5595,145858.157,175226.975,20.13519065649513,0
Bunnell,charley,5642,181713.8749,218663.3265,20.333863674600448,0
Umatilla,charley,5681,181160.3463,211210.0669,16.58736098364369,0
Alva,charley,5688,318184.556,394917.1031,24.115735868713887,1
Fort Meade,charley,5720,134471.6758,144360.4183,7.353773529756215,0
Wewahitchka,charley,5734,142856.9019,174075.0562,21.852744869024768,0
Floral City,charley,5880,168598.5346,197996.7657,17.436824803814144,0
Rotonda West,charley,5935,238610.4518,290837.158,21.8878535311503,0
Saint Pete Beach,charley,5956,551465.7416,665001.3301,20.58796765336548,0
Lake Park,charley,5968,256658.6862,316580.8869,23.347037884120514,1
Melbourne Beach,charley,5982,483794.2436,618963.2439,27.93935688324507,1
Hilliard,charley,6022,219015.6823,242943.7529,10.92527729006372,0
Indian Harbour Beach,charley,6133,395827.5484,525198.3548,32.68362874765488,1
Bithlo,charley,6151,357319.005,406123.1853,13.65843395315623,0
Cape Canaveral,charley,6245,320857.6164,421007.4735,31.21317742856611,1
Belle Isle,charley,6256,428916.1309,503521.931,17.394029910568698,0
Palm Beach,charley,6349,1858424.948,2173110.811,16.932933629558665,0
North Bay Village,charley,6480,400483.9323,491326.108,22.68310121164879,1
Broadview Park,charley,6563,228948.1637,273800.7838,19.59073153291247,0
Youngstown,charley,6588,210379.9229,235899.2853,12.130132024114353,0
Bell,charley,6600,195868.7112,239606.0943,22.32994888874319,1
